Date,HASH11
2022-01-03,49.310001373291016
2022-01-04,50.220001220703125
2022-01-05,48.880001068115234
2022-01-06,46.95000076293945
2022-01-07,44.45000076293945
2022-01-10,43.88999938964844
2022-01-11,44.540000915527344
2022-01-12,45.599998474121094
2022-01-13,44.25
2022-01-14,44.79999923706055
2022-01-17,43.25
2022-01-18,43.20000076293945
2022-01-19,42.04999923706055
2022-01-20,42.849998474121094
2022-01-21,38.0099983215332
2022-01-24,36.099998474121094
2022-01-25,35.0
2022-01-26,36.11000061035156
2022-01-27,34.25
2022-01-28,36.400001525878906
2022-01-31,37.0
2022-02-01,37.38999938964844
2022-02-02,35.70000076293945
2022-02-03,35.34000015258789
2022-02-04,39.439998626708984
2022-02-07,42.400001525878906
2022-02-08,42.599998474121094
2022-02-09,42.9900016784668
2022-02-10,42.189998626708984
2022-02-11,40.25
2022-02-14,39.25
2022-02-15,41.099998474121094
2022-02-16,41.11000061035156
2022-02-17,38.0
2022-02-18,37.0
2022-02-21,34.720001220703125
2022-02-22,34.099998474121094
2022-02-23,33.560001373291016
2022-02-24,34.900001525878906
2022-02-25,36.0
2022-03-02,39.650001525878906
2022-03-03,37.29999923706055
2022-03-04,36.29999923706055
2022-03-07,34.380001068115234
2022-03-08,34.45000076293945
2022-03-09,36.68000030517578
2022-03-10,35.599998474121094
2022-03-11,34.29999923706055
2022-03-14,35.400001525878906
2022-03-15,36.2599983215332
2022-03-16,37.29999923706055
2022-03-17,36.5
2022-03-18,37.5
2022-03-21,36.599998474121094
2022-03-22,37.959999084472656
2022-03-23,36.650001525878906
2022-03-24,38.099998474121094
2022-03-25,38.02000045776367
2022-03-28,41.150001525878906
2022-03-29,41.25
2022-03-30,41.0
2022-03-31,39.470001220703125
2022-04-01,40.18000030517578
2022-04-04,39.119998931884766
2022-04-05,39.41999816894531
2022-04-06,37.689998626708984
2022-04-07,37.5
2022-04-08,37.09000015258789
2022-04-11,34.04999923706055
2022-04-12,34.0
2022-04-13,35.439998626708984
2022-04-14,34.349998474121094
2022-04-18,34.68000030517578
2022-04-19,35.060001373291016
2022-04-20,34.439998626708984
2022-04-22,34.5
2022-04-25,35.45000076293945
2022-04-26,34.29999923706055
2022-04-27,35.0
2022-04-28,35.400001525878906
2022-04-29,34.56999969482422
2022-05-02,35.20000076293945
2022-05-03,33.880001068115234
2022-05-04,35.59000015258789
2022-05-05,33.29999923706055
2022-05-06,33.400001525878906
2022-05-09,29.0
2022-05-10,29.0
2022-05-11,27.18000030517578
2022-05-12,25.950000762939453
2022-05-13,27.190000534057617
2022-05-16,26.549999237060547
2022-05-17,26.350000381469727
2022-05-18,25.739999771118164
2022-05-19,26.200000762939453
2022-05-20,25.110000610351562
2022-05-23,25.0
2022-05-24,24.600000381469727
2022-05-25,24.799999237060547
2022-05-26,23.950000762939453
2022-05-27,23.100000381469727
2022-05-30,24.989999771118164
2022-05-31,25.75
2022-06-01,24.899999618530273
2022-06-02,24.75
2022-06-03,23.899999618530273
2022-06-06,25.59000015258789
2022-06-07,26.06999969482422
2022-06-08,24.899999618530273
2022-06-09,25.020000457763672
2022-06-10,24.5
2022-06-13,19.600000381469727
2022-06-14,18.719999313354492
2022-06-15,18.049999237060547
2022-06-17,17.600000381469727
2022-06-20,17.25
2022-06-21,17.799999237060547
2022-06-22,17.25
2022-06-23,18.510000228881836
2022-06-24,18.700000762939453
2022-06-27,18.31999969482422
2022-06-28,17.690000534057617
2022-06-29,17.610000610351562
2022-06-30,16.270000457763672
2022-07-01,17.040000915527344
2022-07-04,17.43000030517578
2022-07-05,18.450000762939453
2022-07-06,18.350000381469727
2022-07-07,19.3799991607666
2022-07-08,18.969999313354492
2022-07-11,18.219999313354492
2022-07-12,17.350000381469727
2022-07-13,17.459999084472656
2022-07-14,18.889999389648438
2022-07-15,19.5
2022-07-18,20.399999618530273
2022-07-19,22.079999923706055
2022-07-20,21.709999084472656
2022-07-21,22.399999618530273
2022-07-22,21.850000381469727
2022-07-25,20.799999237060547
2022-07-26,19.399999618530273
2022-07-27,21.0
2022-07-28,22.399999618530273
2022-07-29,22.049999237060547
2022-08-01,21.1200008392334
2022-08-02,21.600000381469727
2022-08-03,21.940000534057617
2022-08-04,20.899999618530273
2022-08-05,21.5
2022-08-08,22.0
2022-08-09,21.260000228881836
2022-08-10,22.0
2022-08-11,23.0
2022-08-12,22.549999237060547
2022-08-15,22.450000762939453
2022-08-16,22.65999984741211
2022-08-17,22.34000015258789
2022-08-18,22.399999618530273
2022-08-19,20.229999542236328
2022-08-22,19.700000762939453
2022-08-23,20.1200008392334
2022-08-24,20.139999389648438
2022-08-25,20.110000610351562
2022-08-26,19.100000381469727
2022-08-29,18.3799991607666
2022-08-30,18.489999771118164
2022-08-31,19.0
2022-09-01,19.100000381469727
2022-09-02,18.93000030517578
2022-09-05,19.040000915527344
2022-09-06,18.440000534057617
2022-09-08,19.100000381469727
2022-09-09,19.700000762939453
2022-09-12,20.649999618530273
2022-09-13,19.510000228881836
2022-09-14,19.040000915527344
2022-09-15,18.700000762939453
2022-09-16,18.65999984741211
2022-09-19,17.829999923706055
2022-09-20,17.40999984741211
2022-09-21,17.270000457763672
2022-09-22,17.649999618530273
2022-09-23,17.6200008392334
2022-09-26,17.8799991607666
2022-09-27,17.8799991607666
2022-09-28,18.270000457763672
2022-09-29,18.110000610351562
2022-09-30,18.43000030517578
2022-10-03,17.799999237060547
2022-10-04,18.040000915527344
2022-10-05,18.06999969482422
2022-10-06,18.3799991607666
2022-10-07,17.780000686645508
2022-10-10,17.5
